"26年03月","材料使用計画表","単位:材料=Kg 部品=個","作成日：","西暦26/03/16"
"部番","品名","在庫予定",,"合計","01*","02 ","03 ","04 ","05 ","06 ","07*","08*","09 ","10 ","11 ","12 ","13 ","14*","15*","16 ","17 ","18 ","19 ","20*","21*","22*","23 ","24 ","25 ","26 ","27 ","28*","29*","30 ","31 "
"5-5401","ＳＨＡＦＴ　Ｌ３５",,"予定在庫",,,6000.0,8400.0,10800.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,3600.0,,,,,2400.0,4800.0,7200.0,3600.0,,,,,
"5-5401","ＳＨＡＦＴ　Ｌ３５",,"使用計画",36000.0,,,3600.0,3600.0,3600.0,,,,,,,,,,,,,3600.0,3600.0,,,,3600.0,3600.0,3600.0,3600.0,3600.0,,,,
"5-5401","ＳＨＡＦＴ　Ｌ３５",,"発注計画",36000.0,,6000.0,6000.0,6000.0,,,,,,,,,,,,,,,,,,,6000.0,6000.0,6000.0,,,,,,
"5-5402","ＳＨＡＦＴ　Ｍ６",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5402","ＳＨＡＦＴ　Ｍ６",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5402","ＳＨＡＦＴ　Ｍ６",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5402","ＳＨＡＦＴ　Ｍ６",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5402","ＳＨＡＦＴ　Ｍ６",22800.0,"予定在庫",22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0,22800.0
"5-5402","ＳＨＡＦＴ　Ｍ６",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5402","ＳＨＡＦＴ　Ｍ６",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
