"26年03月","材料使用計画表","単位:材料=Kg 部品=個","作成日：","西暦26/03/16"
"部番","品名","在庫予定",,"合計","01*","02 ","03 ","04 ","05 ","06 ","07*","08*","09 ","10 ","11 ","12 ","13 ","14*","15*","16 ","17 ","18 ","19 ","20*","21*","22*","23 ","24 ","25 ","26 ","27 ","28*","29*","30 ","31 "
"8-5212","ﾕﾋﾟﾀｰﾙ F20-03 ER002(BK)",-62.9,"予定在庫",-50.7,-50.7,-50.7,-50.7,-50.7,-50.7,-50.7,-50.7,-50.7,-50.7,-50.7,-50.7,-50.7,-50.7,-50.7,-50.7,-50.7,-62.9,-62.9,-62.9,-62.9,-62.9,-62.9,-62.9,-62.9,-62.9,-62.9,-62.9,-62.9,-62.9,-62.9,-62.9
"8-5212","ﾕﾋﾟﾀｰﾙ F20-03 ER002(BK)",,"使用計画",12.2,,,,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,
"8-5212","ﾕﾋﾟﾀｰﾙ F20-03 ER002(BK)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5212-01","ﾕﾋﾟﾀｰﾙ F20-03 E8625(ｱｲﾎﾞﾘｰ)",,"実在庫",22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
"8-5212-01","ﾕﾋﾟﾀｰﾙ F20-03 E8625(ｱｲﾎﾞﾘｰ)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5212-01","ﾕﾋﾟﾀｰﾙ F20-03 E8625(ｱｲﾎﾞﾘｰ)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5212-01","ﾕﾋﾟﾀｰﾙ F20-03 E8625(ｱｲﾎﾞﾘｰ)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5212-01","ﾕﾋﾟﾀｰﾙ F20-03 E8625(ｱｲﾎﾞﾘｰ)",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5212-01","ﾕﾋﾟﾀｰﾙ F20-03 E8625(ｱｲﾎﾞﾘｰ)",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5212-01","ﾕﾋﾟﾀｰﾙ F20-03 E8625(ｱｲﾎﾞﾘｰ)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5213","ｶﾙﾌﾟPPS T514A3(BK)",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5213","ｶﾙﾌﾟPPS T514A3(BK)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5213","ｶﾙﾌﾟPPS T514A3(BK)",,"発注",100.0,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,
"8-5213","ｶﾙﾌﾟPPS T514A3(BK)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5213","ｶﾙﾌﾟPPS T514A3(BK)",-24.9,"予定在庫",-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,-37.5,62.5,47.1,31.8,16.4,16.4,16.4,16.4,-4.3,-24.9
"8-5213","ｶﾙﾌﾟPPS T514A3(BK)",,"使用計画",87.4,,,,,,,,,,,,,,,,,,,,,,,,15.4,15.4,15.4,,,,20.6,20.6
"8-5213","ｶﾙﾌﾟPPS T514A3(BK)",,"発注計画",100.0,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,
"8-5214","ｼﾞｭﾗｺﾝ M90-44 CF2001",,"実在庫",25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5214","ｼﾞｭﾗｺﾝ M90-44 CF2001",,"実使用",25.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5214","ｼﾞｭﾗｺﾝ M90-44 CF2001",,"発注",100.0,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,
"8-5214","ｼﾞｭﾗｺﾝ M90-44 CF2001",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5214","ｼﾞｭﾗｺﾝ M90-44 CF2001",-560.7,"予定在庫",-503.4,-503.4,-530.1,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-556.8,-456.8,-478.6,-500.4,-522.2,-538.9,-538.9,-538.9,-560.7,-560.7
"8-5214","ｼﾞｭﾗｺﾝ M90-44 CF2001",,"使用計画",157.3,,26.7,26.7,,,,,,,,,,,,,,,,,,,,,21.8,21.8,21.8,16.7,,,21.8,
"8-5214","ｼﾞｭﾗｺﾝ M90-44 CF2001",,"発注計画",100.0,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,
"8-5214-02","ｼﾞｭﾗｺﾝ M90-44 CF2001",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5214-02","ｼﾞｭﾗｺﾝ M90-44 CF2001",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5214-02","ｼﾞｭﾗｺﾝ M90-44 CF2001",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5214-02","ｼﾞｭﾗｺﾝ M90-44 CF2001",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5214-02","ｼﾞｭﾗｺﾝ M90-44 CF2001",-299.6,"予定在庫",-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6,-299.6
"8-5214-02","ｼﾞｭﾗｺﾝ M90-44 CF2001",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5214-02","ｼﾞｭﾗｺﾝ M90-44 CF2001",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5215","PBT 5010GN2-30X2 NAT(白)",,"実在庫",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
"8-5215","PBT 5010GN2-30X2 NAT(白)",,"実使用",25.0,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,
"8-5215","PBT 5010GN2-30X2 NAT(白)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5215","PBT 5010GN2-30X2 NAT(白)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5215","PBT 5010GN2-30X2 NAT(白)",-27.0,"予定在庫",43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,38.6,33.6,28.7,23.7,23.7,23.7,23.7,16.5,9.2,2.0,-5.3,-12.5,-12.5,-12.5,-19.8,-27.0
"8-5215","PBT 5010GN2-30X2 NAT(白)",,"使用計画",70.5,,,,,,,,,,,,,,,,4.9,4.9,4.9,4.9,,,,7.3,7.3,7.3,7.3,7.3,,,7.3,7.3
"8-5215","PBT 5010GN2-30X2 NAT(白)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5216","DURANEX3316",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5216","DURANEX3316",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5216","DURANEX3316",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5216","DURANEX3316",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5216","DURANEX3316",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5216","DURANEX3316",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5216","DURANEX3316",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5217","ﾆﾎﾟﾛﾝﾊｰﾄﾞ 2000-7275ｷｲﾛ",,"実在庫",,,,,,,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
"8-5217","ﾆﾎﾟﾛﾝﾊｰﾄﾞ 2000-7275ｷｲﾛ",,"実使用",23.0,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,
"8-5217","ﾆﾎﾟﾛﾝﾊｰﾄﾞ 2000-7275ｷｲﾛ",,"発注",23.0,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,
"8-5217","ﾆﾎﾟﾛﾝﾊｰﾄﾞ 2000-7275ｷｲﾛ",,"納入",23.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5217","ﾆﾎﾟﾛﾝﾊｰﾄﾞ 2000-7275ｷｲﾛ",-0.3,"予定在庫",,,,,,,,,,25.0,16.6,8.1,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
"8-5217","ﾆﾎﾟﾛﾝﾊｰﾄﾞ 2000-7275ｷｲﾛ",,"使用計画",25.3,,,,,,,,,,8.4,8.4,8.4,,,,,,,,,,,,,,,,,,,
"8-5217","ﾆﾎﾟﾛﾝﾊｰﾄﾞ 2000-7275ｷｲﾛ",,"発注計画",25.0,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,
"8-5218","DIC Z230 BK",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5218","DIC Z230 BK",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5218","DIC Z230 BK",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5218","DIC Z230 BK",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5218","DIC Z230 BK",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5218","DIC Z230 BK",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5218","DIC Z230 BK",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5219","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A1 BK",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5219","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A1 BK",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5219","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A1 BK",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5219","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A1 BK",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5219","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A1 BK",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5219","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A1 BK",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5219","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A1 BK",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5220","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A6 N",,"実在庫",33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
"8-5220","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A6 N",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5220","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A6 N",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5220","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A6 N",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5220","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A6 N",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5220","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A6 N",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5220","ｼﾞｭﾗﾌｧｲﾄﾞ 1130A6 N",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5221","ｱﾐﾗﾝ CM3001 N",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5221","ｱﾐﾗﾝ CM3001 N",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5221","ｱﾐﾗﾝ CM3001 N",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5221","ｱﾐﾗﾝ CM3001 N",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5221","ｱﾐﾗﾝ CM3001 N",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5221","ｱﾐﾗﾝ CM3001 N",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5221","ｱﾐﾗﾝ CM3001 N",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5222","PBT 5010GNH-30 BK",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5222","PBT 5010GNH-30 BK",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5222","PBT 5010GNH-30 BK",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5222","PBT 5010GNH-30 BK",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5222","PBT 5010GNH-30 BK",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5222","PBT 5010GNH-30 BK",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5222","PBT 5010GNH-30 BK",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5223","ﾕﾋﾟｴｰｽ GN30 9001L BK",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5223","ﾕﾋﾟｴｰｽ GN30 9001L BK",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5223","ﾕﾋﾟｴｰｽ GN30 9001L BK",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5223","ﾕﾋﾟｴｰｽ GN30 9001L BK",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5223","ﾕﾋﾟｴｰｽ GN30 9001L BK",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5223","ﾕﾋﾟｴｰｽ GN30 9001L BK",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5223","ﾕﾋﾟｴｰｽ GN30 9001L BK",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5224","東レ CM3001 G30",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5224","東レ CM3001 G30",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5224","東レ CM3001 G30",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5224","東レ CM3001 G30",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5224","東レ CM3001 G30",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5224","東レ CM3001 G30",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5224","東レ CM3001 G30",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5225","東レ CM3001 G30 ﾅﾁｭﾗﾙ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5225","東レ CM3001 G30 ﾅﾁｭﾗﾙ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5225","東レ CM3001 G30 ﾅﾁｭﾗﾙ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5225","東レ CM3001 G30 ﾅﾁｭﾗﾙ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5225","東レ CM3001 G30 ﾅﾁｭﾗﾙ",25.0,"予定在庫",,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
"8-5225","東レ CM3001 G30 ﾅﾁｭﾗﾙ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5225","東レ CM3001 G30 ﾅﾁｭﾗﾙ",,"発注計画",25.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5226","PPﾉﾊﾞﾃｯｸ MG03E",,"実在庫",30.4,30.4,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5226","PPﾉﾊﾞﾃｯｸ MG03E",,"実使用",30.4,,,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5226","PPﾉﾊﾞﾃｯｸ MG03E",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5226","PPﾉﾊﾞﾃｯｸ MG03E",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5226","PPﾉﾊﾞﾃｯｸ MG03E",-23.0,"予定在庫",-12.8,-12.8,-12.8,-12.8,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0
"8-5226","PPﾉﾊﾞﾃｯｸ MG03E",,"使用計画",10.2,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5226","PPﾉﾊﾞﾃｯｸ MG03E",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5227","ｱﾐﾗﾝ CM3001G30B1",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5227","ｱﾐﾗﾝ CM3001G30B1",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5227","ｱﾐﾗﾝ CM3001G30B1",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5227","ｱﾐﾗﾝ CM3001G30B1",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5227","ｱﾐﾗﾝ CM3001G30B1",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5227","ｱﾐﾗﾝ CM3001G30B1",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5227","ｱﾐﾗﾝ CM3001G30B1",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5228","PSJ ﾎﾟﾘｽﾁﾚﾝ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5228","PSJ ﾎﾟﾘｽﾁﾚﾝ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5228","PSJ ﾎﾟﾘｽﾁﾚﾝ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5228","PSJ ﾎﾟﾘｽﾁﾚﾝ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5228","PSJ ﾎﾟﾘｽﾁﾚﾝ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5228","PSJ ﾎﾟﾘｽﾁﾚﾝ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5228","PSJ ﾎﾟﾘｽﾁﾚﾝ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5229","ﾃﾞﾝｶABS CL430 ﾅﾁｭﾗﾙ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5229","ﾃﾞﾝｶABS CL430 ﾅﾁｭﾗﾙ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5229","ﾃﾞﾝｶABS CL430 ﾅﾁｭﾗﾙ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5229","ﾃﾞﾝｶABS CL430 ﾅﾁｭﾗﾙ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5229","ﾃﾞﾝｶABS CL430 ﾅﾁｭﾗﾙ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5229","ﾃﾞﾝｶABS CL430 ﾅﾁｭﾗﾙ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5229","ﾃﾞﾝｶABS CL430 ﾅﾁｭﾗﾙ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5230","ﾀﾞｲｾﾙPP-PG2N1 ﾅﾁｭﾗﾙ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5230","ﾀﾞｲｾﾙPP-PG2N1 ﾅﾁｭﾗﾙ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5230","ﾀﾞｲｾﾙPP-PG2N1 ﾅﾁｭﾗﾙ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5230","ﾀﾞｲｾﾙPP-PG2N1 ﾅﾁｭﾗﾙ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5230","ﾀﾞｲｾﾙPP-PG2N1 ﾅﾁｭﾗﾙ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5230","ﾀﾞｲｾﾙPP-PG2N1 ﾅﾁｭﾗﾙ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5230","ﾀﾞｲｾﾙPP-PG2N1 ﾅﾁｭﾗﾙ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5231","ｲﾃﾞﾐﾂPPS N501F3-NO507(BK）",,"実在庫",25.0,25.0,500.0,450.0,400.0,375.0,325.0,325.0,325.0,300.0,250.0,200.0,150.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
"8-5231","ｲﾃﾞﾐﾂPPS N501F3-NO507(BK）",,"実使用",400.0,,25.0,50.0,50.0,25.0,50.0,,,25.0,50.0,50.0,50.0,25.0,,,,,,,,,,,,,,,,,,
"8-5231","ｲﾃﾞﾐﾂPPS N501F3-NO507(BK）",,"発注",800.0,,500.0,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,
"8-5231","ｲﾃﾞﾐﾂPPS N501F3-NO507(BK）",,"納入",500.0,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5231","ｲﾃﾞﾐﾂPPS N501F3-NO507(BK）",2.2,"予定在庫",31.3,31.3,490.1,449.0,412.2,371.1,334.3,334.3,334.3,293.2,252.0,215.3,174.1,137.3,137.3,137.3,96.2,55.0,18.3,-18.5,-18.5,-18.5,-18.5,240.4,199.2,162.5,121.3,84.5,84.5,84.5,43.4,2.2
"8-5231","ｲﾃﾞﾐﾂPPS N501F3-NO507(BK）",,"使用計画",829.1,,41.2,41.2,36.8,41.2,36.8,,,41.2,41.2,36.8,41.2,36.8,,,41.2,41.2,36.8,36.8,,,,41.2,41.2,36.8,41.2,36.8,,,41.2,41.2
"8-5231","ｲﾃﾞﾐﾂPPS N501F3-NO507(BK）",,"発注計画",800.0,,500.0,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,
"8-5232","LCPｽﾐｶｽｰﾊﾟｰE6008",,"実在庫",15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
"8-5232","LCPｽﾐｶｽｰﾊﾟｰE6008",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5232","LCPｽﾐｶｽｰﾊﾟｰE6008",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5232","LCPｽﾐｶｽｰﾊﾟｰE6008",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5232","LCPｽﾐｶｽｰﾊﾟｰE6008",-6.2,"予定在庫",-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2
"8-5232","LCPｽﾐｶｽｰﾊﾟｰE6008",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5232","LCPｽﾐｶｽｰﾊﾟｰE6008",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5233","PBT 5010GN2-30X2 BK8E(黒)",,"実在庫",250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
"8-5233","PBT 5010GN2-30X2 BK8E(黒)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5233","PBT 5010GN2-30X2 BK8E(黒)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5233","PBT 5010GN2-30X2 BK8E(黒)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5233","PBT 5010GN2-30X2 BK8E(黒)",44.2,"予定在庫",148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,135.6,135.6,135.6,135.6,122.5,109.5,96.4,83.4,70.3,70.3,70.3,57.3,44.2
"8-5233","PBT 5010GN2-30X2 BK8E(黒)",,"使用計画",104.4,,,,,,,,,,,,,,,,,,,13.1,,,,13.1,13.1,13.1,13.1,13.1,,,13.1,13.1
